City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Ponta Do Sol,PT,32.6667,-17.1,75.0,83,52,6.53,broken clouds
323,Mayo,US,38.8876,-76.5119,88.36,63,0,10.36,clear sky
324,Akonolinga,CM,3.7667,12.25,67.21,99,71,1.5,moderate rain
325,Henties Bay,NA,-22.116,14.2845,57.74,78,0,9.57,clear sky
326,Udachnyy,RU,66.4167,112.4,7.86,98,62,3.96,broken clouds
327,Mana,GF,5.6592,-53.7767,80.96,81,44,12.37,scattered clouds
328,Lata,PT,40.1629,-8.3327,65.39,87,1,1.57,clear sky
329,Pucallpa,PE,-8.3791,-74.5539,98.96,29,89,3.22,overcast clouds
330,Kosh-Agach,RU,50.0,88.6667,41.58,61,1,1.54,clear sky
331,Cairns,AU,-16.9167,145.7667,71.55,91,68,3.44,broken clouds
332,Talara,PE,-4.5772,-81.2719,66.15,79,100,22.32,overcast clouds
333,Paamiut,GL,61.994,-49.6678,42.75,72,96,17.58,overcast clouds
334,Naryan-Mar,RU,67.6713,53.087,36.91,77,33,15.55,scattered clouds
335,Tsiroanomandidy,MG,-18.7667,46.0333,64.44,62,0,6.08,clear sky
336,Poum,NC,-20.2333,164.0167,75.49,74,9,7.52,clear sky
337,Amuntai,ID,-2.4177,115.2494,72.37,96,100,0.87,overcast clouds
338,Karwar,IN,14.8,74.1333,75.92,83,100,6.02,overcast clouds
339,Pentecoste,BR,-3.7928,-39.2703,78.94,70,8,10.87,clear sky
340,Talnakh,RU,69.4865,88.3972,30.02,96,100,16.31,snow
341,Naze,JP,28.3667,129.4833,76.64,84,39,12.48,light rain
342,Okhotsk,RU,59.3833,143.3,37.72,49,0,24.79,clear sky
343,Haag,NL,52.0767,4.2986,53.94,87,93,1.14,overcast clouds
344,Spas-Klepiki,RU,55.1347,40.1767,49.66,88,82,4.47,broken clouds
345,Salonta,RO,46.8,21.65,50.9,86,92,2.28,light rain
